UID;eStateEval;duration;activeSample;mUraw;mUoffset;mU;mUconfidence;transCorrMean;AssayType;Notes;TempDataLog;TempCH3;TransHigh;SamTrans;SamFluor
1758550221;0;392.0219;1;7.472326;3.411693;4.0606327;0.9998141;0.8253524;300;Tartu;39.75;22.08;0.0;2.8614;0.5314
1758553820;0;391.97607;1;7.5991387;3.411693;4.1874456;0.9997602;0.82470024;300;Tartu;39.56;22.15;0.0;2.8526;0.5299
1758557421;0;391.97595;1;8.517019;3.411693;5.105326;0.99987835;0.8235655;300;Tartu;39.38;22.14;0.0;2.8498;0.53155
1758561020;0;392.04694;1;7.331843;3.411693;3.9201498;0.99981695;0.82294804;300;Tartu;39.0;22.3;0.0;2.8530002;0.53384995
1758564621;0;392.00397;1;7.068271;3.411693;3.656578;0.99964815;0.8232652;300;Tartu;38.56;22.76;0.0;2.8580499;0.53505003
1758568222;0;392.00104;1;7.1374335;3.411693;3.7257404;0.9997928;0.8247587;300;Tartu;38.19;23.32;0.0;2.8592;0.5372
1758571819;0;391.99896;1;7.1105747;3.411693;3.6988816;0.99968624;0.8255344;300;Tartu;37.81;23.43;0.0;2.8607;0.5393
1758575420;0;392.00006;1;7.4332366;3.411693;4.0215435;0.99958676;0.8261311;300;Tartu;37.5;23.66;0.0;2.8621;0.5409
1758579019;0;392.00098;1;7.63776;3.411693;4.226067;0.99959344;0.8263286;300;Tartu;37.19;23.95;0.0;2.8628;0.5414
1758582622;0;392.0;1;8.562834;3.411693;5.1511407;0.9998395;0.82689786;300;Tartu;36.94;24.24;0.0;2.8659;0.54215
1758586219;0;391.99994;1;9.404936;3.411693;5.9932427;0.9997214;0.8264799;300;Tartu;36.69;24.27;0.0;2.86645;0.54425
1758589821;0;392.002;1;9.851318;3.411693;6.4396253;0.9996927;0.8273352;300;Tartu;36.44;24.44;0.0;2.86525;0.543
1758593420;0;392.002;1;10.1515465;3.411693;6.7398534;0.99959856;0.82756066;300;Tartu;36.25;24.7;0.0;2.8631;0.5443
1758597021;0;392.00903;1;10.658477;3.411693;7.2467837;0.999612;0.8275508;300;Tartu;36.06;24.95;0.0;2.8703;0.5448
1758600620;0;392.02106;1;10.706891;3.411693;7.295198;0.9996042;0.82814586;300;Tartu;35.81;24.92;0.0;2.868;0.5444
1758604221;0;391.97595;1;11.258217;3.411693;7.846524;0.9996524;0.82820135;300;Tartu;35.63;25.06;0.0;2.8677;0.5438
